Identifiant GPSO;Identifiant Aménageur;Nom de la station;Commune;Code INSEE;Localisation;Complément de Localisation;Type de borne;Type de prise;Emplacement;Nombre de places;Nombre de place PMR;Etat;Observation sur l'état;Type de recharge;Aménageur;Opérateur;Nombre de points de charge;Accès;Année de mise en service;geo_shape;Géolocalisation
IRVE84;;PARKING DE L'AVANT SEINE - RUE DU MARTIN PECHEUR - MEUDON;MEUDON;92048;5  RUE DU MARTIN PECHEUR;Parking l'Avant Seine;;;Parking en ouvrage;4;;En service;;;;;;;;"{""coordinates"": [2.238572798609457, 48.81992862806094], ""type"": ""Point""}";48.81992862806094, 2.238572798609457
IRVE86;;PARKING PLACE CENTRALE - RUE BERNARD DELPUECH - MEUDON;MEUDON;92048;RUE BERNARD DELPUECH;Parking Place Centrale;;;Parking en ouvrage;3;;En service;;;;;;;;"{""coordinates"": [2.228719472470402, 48.7873746399177], ""type"": ""Point""}";48.7873746399177, 2.228719472470402
IRVE20;29;2 RUE DE PONCEAU - MEUDON;MEUDON;92048;2  RUE DU PONCEAU;;Ancienne borne Autolib;Type 2 et domestique;Voirie;4;;En service;;Normale - 7kW;SIGEIF;Izivia;4;Gratuit;2020;"{""coordinates"": [2.238014500489826, 48.812431869559425], ""type"": ""Point""}";48.812431869559425, 2.238014500489826
IRVE4;10;RUE ANATOLE FRANCE - CHAVILLE;CHAVILLE;92022;RUE ANATOLE FRANCE;En face du 28;Nexans;2S et 2F;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.1883401995236262, 48.80378320466501], ""type"": ""Point""}";48.80378320466501, 2.1883401995236262
IRVE28;52;RUE ANTOINE FRATACCI - VANVES;VANVES;92075;RUE ANTOINE FRATACCI;;IES;Combo, CHAdeMO et domestique;Voirie;2;;En service;;Rapide - 24kW DC;SIGEIF;Izivia;2;Gratuit;2021;"{""coordinates"": [2.288492212419915, 48.821049095487595], ""type"": ""Point""}";48.821049095487595, 2.288492212419915
IRVE6;12;3 RUE VAUDETARD - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;3-5  RUE VAUDETARD;;Nexans;2S et 2F;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.2765386709815663, 48.82718389230604], ""type"": ""Point""}";48.82718389230604, 2.2765386709815663
IRVE8;17;53 GRANDE RUE - SEVRES;SEVRES;92072;53  GRANDE RUE;;Nexans;2S et 2F;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.213581981093821, 48.824560122185666], ""type"": ""Point""}";48.824560122185666, 2.213581981093821
IRVE14;13;PLACE DE LA MAIRIE - MARNES-LA-COQUETTE;MARNES-LA-COQUETTE;92047;PLACE DE LA MAIRIE;;Lafon Pulse;Type 2 et domestique;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2021;"{""coordinates"": [2.1780296309827416, 48.83035682846623], ""type"": ""Point""}";48.83035682846623, 2.1780296309827416
IRVE85;;PARKING RUE DE SEVRES - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;28  RUE DE SEVRES;Parking Rue de Sèvres;;;Parking en ouvrage;13;;En service;;;;;;;;"{""coordinates"": [2.227869367391845, 48.83764435581511], ""type"": ""Point""}";48.83764435581511, 2.227869367391845
IRVE12;26;PLACE CHARLES DE GAULLE - VILLE-D'AVRAY;VILLE D'AVRAY;92077;PLACE CHARLES DE GAULLE;;Nexans;2S et 2F;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.189484734290889, 48.82604542173902], ""type"": ""Point""}";48.82604542173902, 2.189484734290889
IRVE22;58;10 RUE DE LA VERRERIE - MEUDON;MEUDON;92048;10  RUE DE LA VERRERIE;;Lafon Pulse;Type 2 et domestique;Voirie;2;;En service;;Normale - 7kW;SIGEIF;Izivia;2;Gratuit;2020;"{""coordinates"": [2.234306472481948, 48.820340317311704], ""type"": ""Point""}";48.820340317311704, 2.234306472481948
IRVE32;64;2 RUE HENRI MARTIN - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;2  RUE HENRI MARTIN;;Ancienne borne Autolib;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;SIGEIF;Izivia;6;Gratuit;2021;"{""coordinates"": [2.252320519581126, 48.83667401144693], ""type"": ""Point""}";48.83667401144693, 2.252320519581126
IRVE33;65;121 AVENUE ANDRE MORIZET  - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;121  AVENUE ANDRE MORIZET;;Ancienne borne Autolib;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;SIGEIF;Izivia;6;Gratuit;2021;"{""coordinates"": [2.22957145748108, 48.840063060251545], ""type"": ""Point""}";48.840063060251545, 2.22957145748108
IRVE34;66;80 RUE DE SEVRES - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;80  RUE DE SEVRES;;Ancienne borne Autolib;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;SIGEIF;Izivia;6;Gratuit;2021;"{""coordinates"": [2.229995073666737, 48.83153682715927], ""type"": ""Point""}";48.83153682715927, 2.229995073666737
IRVE36;67;40 RUE DE MEUDON - BOULOGNE-BILLANCOURT;BOULOGNE-BILLANCOURT;92012;40  RUE DE MEUDON;;Ancienne borne Autolib;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;SIGEIF;Izivia;6;Gratuit;2021;"{""coordinates"": [2.2421097543277373, 48.82805373146181], ""type"": ""Point""}";48.82805373146181, 2.2421097543277373
IRVE57;;16 RUE GUYNEMER - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;16  RUE GUYNEMER;;Proximité;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;Metropolis;Metropolis;6;Gratuit;2021;"{""coordinates"": [2.2783119790769493, 48.8307553604023], ""type"": ""Point""}";48.8307553604023, 2.2783119790769493
IRVE19;32;RUE WOLFENBUTTEL - SEVRES;SEVRES;92072;RUE DE WOLFENBUTTEL;;Ancienne borne Autolib;2EU et 2EF;Voirie;6;;En service;;Normale - 7kW;SIGEIF;Izivia;6;Gratuit;2020;"{""coordinates"": [2.213392798759193, 48.81263570588866], ""type"": ""Point""}";48.81263570588866, 2.213392798759193
IRVE54;81;88 AVENUE GENERAL DE GAULLE - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;88  AVENUE DU GENERAL DE GAULLE;;Ancienne borne Autolib;Type 2 et domestique;Voirie;6;;En service;;Normale - 7kW;SIGEIF;Izivia;6;Gratuit;2021;"{""coordinates"": [2.27772095161726, 48.81872655891737], ""type"": ""Point""}";48.81872655891737, 2.27772095161726
IRVE60;;1 RUE RENE JACQUES - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;1  RUE RENE JACQUES;;Citadine;Type 2 et domestique;Voirie;4;;En service;;Accélérée - 22kW;Metropolis;Metropolis;4;Gratuit;2021;"{""coordinates"": [2.2619127764698246, 48.82383406456825], ""type"": ""Point""}";48.82383406456825, 2.2619127764698246
IRVE71;;28 RUE BARA - ISSY-LES-MOULINEAUX;ISSY-LES-MOULINEAUX;92040;28  RUE BARA;;Express;Combo, CHAdeMO et domestique;Voirie;4;;En service;;Rapide - 50kW DC;Metropolis;Metropolis;4;Gratuit;2022;"{""coordinates"": [2.2681216288324326, 48.83277561573239], ""type"": ""Point""}";48.83277561573239, 2.2681216288324326
IRVE67;256;21 RUE DE MARNES - VILLE-D'AVRAY;VILLE D'AVRAY;92077;21  RUE DE MARNES;;Schneider - Evlink;Type 2 et domestique;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Alizé;2;Gratuit;2020;"{""coordinates"": [2.1836407281421986, 48.82824049210473], ""type"": ""Point""}";48.82824049210473, 2.1836407281421986
IRVE63;272;15 CHEMIN DESVALLIERES - VILLE-D'AVRAY;VILLE D'AVRAY;92077;15  CHEMIN DESVALLIERES;;Schneider - Evlink;Type 2 et domestique;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Alizé;2;Gratuit;2020;"{""coordinates"": [2.196932426580429, 48.823700923609174], ""type"": ""Point""}";48.823700923609174, 2.196932426580429
IRVE70;157;1 RUE DES GRIMETTES - MEUDON;MEUDON;92048;1  RUE DES GRIMETTES;;Lafon Pulse;Type 2 et domestique;Voirie;2;;En service;;Accélérée - 22kW;SIGEIF;Izivia;2;Gratuit;2021;"{""coordinates"": [2.241900844173999, 48.80792899080387], ""type"": ""Point""}";48.80792899080387, 2.241900844173999
